,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
2022-03-04 21:25:00,1.09269,1.09279,1.09269,30.47583936448551,,1.09273,BUY,1.09307,2022-03-04 21:52:00,TG,10.200000000000209
2022-03-04 21:46:00,1.09358,1.09358,1.09347,69.12516404762204,,1.09348,SELL,1.09369,2022-03-06 19:34:00,TG,-6.300000000001305
2022-03-04 21:50:00,1.09373,1.09375,1.09345,66.86901445745688,,1.09362,SELL,1.09381,2022-03-06 19:30:00,TG,-5.699999999997374
2022-03-06 20:10:00,1.0929,1.0929,1.0929,33.596359743189,,1.0929,BUY,1.09275,2022-03-06 20:17:00,SLPR,-4.499999999996174
2022-03-06 20:48:00,1.09177,1.09177,1.09177,30.257120589385366,,1.09177,BUY,1.09193,2022-03-06 21:44:00,TG,4.8000000000048
2022-03-06 21:37:00,1.09258,1.09258,1.09249,64.41841331598401,,1.09249,SELL,1.09283,2022-03-06 22:08:00,SLPR,-10.200000000000209
2022-03-06 22:09:00,1.09284,1.09284,1.09247,49.916567350012876,,1.09247,SELL,1.09239,2022-03-06 22:50:00,TGP,2.4000000000024
2022-03-06 22:50:00,1.09234,1.09244,1.09232,35.73578756602656,,1.09239,BUY,0.0,0,0,0.0
2022-03-06 23:15:00,1.08767,1.08821,1.08756,33.122423868681295,,1.08789,BUY,1.08712,2022-03-06 23:20:00,SL,-23.099999999998122
2022-03-06 23:23:00,1.0866,1.08704,1.0863,30.316414203373597,,1.08687,BUY,1.08804,2022-03-06 23:41:00,TG,35.0999999999968
2022-03-06 23:25:00,1.08634,1.08724,1.08633,42.45419883264958,,1.08724,BUY,1.08804,2022-03-06 23:41:00,TG,23.999999999997357
2022-03-06 23:55:00,1.08648,1.08669,1.08648,32.29297834713506,,1.08664,BUY,1.08816,2022-03-07 00:11:00,TG,45.59999999999897
2022-03-07 00:07:00,1.08829,1.0883,1.08811,66.82327468473484,,1.08817,SELL,1.08649,2022-03-07 01:00:00,TG,50.40000000000377
2022-03-07 00:29:00,1.08711,1.0872,1.08711,31.911142773456206,,1.08717,BUY,1.08683,2022-03-07 00:54:00,SLPR,-10.200000000000209
2022-03-07 01:00:00,1.08616,1.08656,1.08605,33.42668840546693,,1.08649,BUY,0.0,0,0,0.0
2022-03-07 01:25:00,1.083,1.08345,1.08282,36.41017769244369,,1.0834,BUY,1.08364,2022-03-07 01:40:00,TG,7.200000000000539
2022-03-07 02:19:00,1.08499,1.08503,1.08481,65.02981581488515,,1.08484,SELL,1.08496,2022-03-07 02:34:00,SLPR,-3.599999999996939
2022-03-07 03:18:00,1.08519,1.08519,1.08495,61.46526418548717,,1.08502,SELL,0.0,0,0,0.0
2022-03-07 03:32:00,1.08722,1.08739,1.08694,67.33922628868532,,1.087,SELL,1.0865,2022-03-07 04:31:00,TG,14.999999999998348
2022-03-07 04:52:00,1.08685,1.08691,1.08672,64.42495988804225,,1.08677,SELL,0.0,0,0,0.0
2022-03-07 05:17:00,1.08825,1.08841,1.08803,66.33543145770707,,1.08806,SELL,1.08848,2022-03-07 06:09:00,SLPR,-12.599999999995948
2022-03-07 05:36:00,1.08668,1.08701,1.08661,34.842015140879184,,1.0869,BUY,1.08771,2022-03-07 06:02:00,TG,24.299999999999322
2022-03-07 05:56:00,1.08796,1.08796,1.08754,59.58329973066579,,1.08764,SELL,1.08835,2022-03-07 06:05:00,SLPR,-21.299999999999653
2022-03-07 07:20:00,1.08929,1.08951,1.08897,64.254916282848,,1.08897,SELL,1.08857,2022-03-07 07:34:00,TG,11.999999999998678
2022-03-07 07:44:00,1.08687,1.08715,1.08687,33.123571597953486,,1.0871,BUY,1.08757,2022-03-07 07:57:00,TG,14.099999999999113
2022-03-07 08:56:00,1.08564,1.08587,1.08552,36.457061852814164,,1.08587,BUY,1.08653,2022-03-07 09:12:00,TG,19.80000000000315
2022-03-07 09:46:00,1.08519,1.08553,1.08519,38.112539094441665,,1.08551,BUY,1.08497,2022-03-07 10:06:00,SL,-16.199999999999548
2022-03-07 10:35:00,1.08073,1.08152,1.0807,37.31094796643387,,1.08151,BUY,1.0826,2022-03-07 10:57:00,TG,32.70000000000106
2022-03-07 12:00:00,1.08586,1.08588,1.08547,67.09292618687391,,1.08559,SELL,0.0,0,0,0.0
2022-03-07 12:22:00,1.08779,1.08791,1.08731,63.94392187845003,,1.08738,SELL,1.08805,2022-03-07 12:25:00,SL,-20.099999999998452
2022-03-07 12:30:00,1.08886,1.08886,1.08846,66.56583681045197,,1.08865,SELL,1.08986,2022-03-07 12:53:00,SLPR,-36.30000000000466
2022-03-07 12:42:00,1.0922,1.09222,1.09103,60.440697425997584,,1.09115,SELL,1.08986,2022-03-07 12:53:00,TG,38.7000000000004
2022-03-07 13:21:00,1.09079,1.09091,1.09031,63.713699815082414,UP_CROSSOVER,1.09038,SELL,1.08983,2022-03-07 13:26:00,TG,16.499999999994852
2022-03-07 13:41:00,1.09164,1.09177,1.09145,69.38955083896418,,1.09152,SELL,1.08961,2022-03-07 13:52:00,TG,57.30000000000235
2022-03-07 14:25:00,1.09265,1.09265,1.09178,55.65784485997961,,1.09183,SELL,1.08966,2022-03-07 14:51:00,TG,65.10000000000016
2022-03-07 14:50:00,1.08921,1.08961,1.08919,30.55681762422985,,1.0894,BUY,1.08869,2022-03-07 15:00:00,SLPR,-21.299999999999653
2022-03-07 15:01:00,1.08868,1.08924,1.08863,40.17852156053776,,1.08908,BUY,1.08865,2022-03-07 15:11:00,SLPR,-12.900000000004574
2022-03-07 15:17:00,1.0878,1.08798,1.08769,32.497329492429984,,1.08794,BUY,1.08687,2022-03-07 15:25:00,SLPR,-32.09999999999713
2022-03-07 15:29:00,1.08582,1.08641,1.08575,32.06869951488804,,1.0864,BUY,1.08764,2022-03-07 15:44:00,TG,37.19999999999723
2022-03-07 16:18:00,1.08623,1.08665,1.08619,42.491607571358884,,1.08659,BUY,1.08669,2022-03-07 16:48:00,TGP,2.9999999999996696
2022-03-07 16:34:00,1.08531,1.0855,1.08529,34.479214809700466,,1.08547,BUY,1.08644,2022-03-07 16:49:00,TG,29.100000000004123
2022-03-07 16:48:00,1.08693,1.08693,1.08648,63.88213754784858,,1.08669,SELL,1.08612,2022-03-07 17:01:00,TG,17.099999999998783
2022-03-07 17:21:00,1.08743,1.08745,1.08725,64.52026168135973,,1.08731,SELL,1.08777,2022-03-07 17:28:00,SLPR,-13.799999999997148
2022-03-07 17:29:00,1.08776,1.0878,1.08748,69.45363641159003,,1.08771,SELL,1.0882,2022-03-07 17:35:00,SLPR,-14.700000000003044
2022-03-07 17:37:00,1.08848,1.08852,1.08795,64.78328356781195,,1.08814,SELL,1.08875,2022-03-07 17:50:00,SLPR,-18.299999999999983
