date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2022-06-02 09:57:00,1.06853,1.06874,1.06875,1.06853,1.06866,1.06889,1.06889,1.06866,107
2022-06-02 09:58:00,1.06874,1.0688,1.06881,1.06871,1.06888,1.06894,1.06895,1.06884,67
2022-06-02 09:59:00,1.0688,1.06877,1.06883,1.06875,1.06893,1.0689,1.06896,1.06887,55
2022-06-02 10:00:00,1.06876,1.06865,1.0688,1.0686,1.06889,1.06877,1.06893,1.06872,154
2022-06-02 10:01:00,1.06865,1.06876,1.06877,1.06859,1.06878,1.06888,1.06891,1.06874,117
2022-06-02 10:02:00,1.06875,1.06865,1.06875,1.06859,1.06887,1.06877,1.06887,1.06872,168
2022-06-02 10:03:00,1.06865,1.06881,1.06881,1.06863,1.06878,1.06893,1.06893,1.06875,71
2022-06-02 10:04:00,1.0688,1.06882,1.06885,1.06875,1.06893,1.06897,1.06899,1.06889,138
2022-06-02 10:05:00,1.06883,1.06888,1.06899,1.06881,1.06897,1.06902,1.06912,1.06893,160
2022-06-02 10:06:00,1.06888,1.06892,1.06892,1.0688,1.06901,1.06904,1.06906,1.06894,152
2022-06-02 10:07:00,1.06891,1.06873,1.06891,1.06872,1.06904,1.06886,1.06904,1.06885,137
2022-06-02 10:08:00,1.06874,1.06852,1.06881,1.06851,1.06886,1.06865,1.06893,1.06863,198
2022-06-02 10:09:00,1.06853,1.0687,1.0687,1.06851,1.06865,1.06882,1.06883,1.06864,145
2022-06-02 10:10:00,1.0687,1.06858,1.0687,1.06857,1.06883,1.06871,1.06883,1.0687,59
2022-06-02 10:11:00,1.06859,1.06867,1.06867,1.06858,1.06871,1.06879,1.0688,1.06871,110
2022-06-02 10:12:00,1.06867,1.06872,1.0688,1.06867,1.0688,1.06884,1.06892,1.06879,103
2022-06-02 10:13:00,1.06871,1.06881,1.06883,1.0687,1.06884,1.06895,1.06896,1.06884,43
2022-06-02 10:14:00,1.06882,1.06887,1.06888,1.06879,1.06895,1.069,1.069,1.06893,78
2022-06-02 10:15:00,1.06888,1.0689,1.06891,1.06877,1.069,1.06902,1.06904,1.0689,73
2022-06-02 10:16:00,1.0689,1.06886,1.06892,1.06886,1.06903,1.06898,1.06905,1.06898,87
2022-06-02 10:17:00,1.06886,1.06891,1.06891,1.06878,1.06899,1.06903,1.06903,1.06892,151
2022-06-02 10:18:00,1.0689,1.06887,1.06892,1.06884,1.06903,1.06899,1.06905,1.06897,102
2022-06-02 10:19:00,1.06886,1.06889,1.06897,1.06883,1.06899,1.06902,1.06909,1.06895,158
2022-06-02 10:20:00,1.0689,1.06907,1.06907,1.0689,1.06902,1.06921,1.06922,1.06902,164
2022-06-02 10:21:00,1.06908,1.0689,1.06908,1.06888,1.06921,1.06903,1.06921,1.06902,148
2022-06-02 10:22:00,1.0689,1.06885,1.06899,1.06883,1.06904,1.06898,1.06911,1.06897,108
2022-06-02 10:23:00,1.06886,1.06899,1.06899,1.06881,1.06898,1.06911,1.06911,1.06894,90
2022-06-02 10:24:00,1.06899,1.06898,1.06905,1.06894,1.06912,1.06911,1.06917,1.06908,100
2022-06-02 10:25:00,1.06897,1.06871,1.06901,1.0687,1.06911,1.06883,1.06914,1.06883,120
2022-06-02 10:26:00,1.06871,1.06859,1.06874,1.06855,1.06884,1.06872,1.06886,1.06867,121
2022-06-02 10:27:00,1.0686,1.06852,1.0686,1.06848,1.06872,1.06864,1.06872,1.0686,104
2022-06-02 10:28:00,1.06851,1.06846,1.06861,1.06842,1.06864,1.06859,1.06873,1.06854,217
2022-06-02 10:29:00,1.06847,1.06849,1.06856,1.06841,1.06859,1.06862,1.06868,1.06854,194
2022-06-02 10:30:00,1.06848,1.06842,1.06852,1.06838,1.06862,1.06857,1.06866,1.06853,133
2022-06-02 10:31:00,1.06841,1.06828,1.06841,1.06826,1.06855,1.06841,1.06855,1.0684,127
2022-06-02 10:32:00,1.06827,1.06831,1.0684,1.06827,1.06841,1.06844,1.06852,1.06841,100
2022-06-02 10:33:00,1.06832,1.06835,1.06835,1.06826,1.06844,1.0685,1.0685,1.0684,95
2022-06-02 10:34:00,1.06835,1.06822,1.06835,1.0682,1.06849,1.06835,1.06849,1.06833,113
2022-06-02 10:35:00,1.06823,1.06845,1.06849,1.06823,1.06835,1.0686,1.06864,1.06835,125
2022-06-02 10:36:00,1.06846,1.06849,1.06849,1.06844,1.0686,1.06862,1.06862,1.06857,62
2022-06-02 10:37:00,1.06848,1.06869,1.06869,1.06846,1.06862,1.06883,1.06883,1.0686,89
2022-06-02 10:38:00,1.06869,1.06876,1.0688,1.06864,1.06884,1.06891,1.06893,1.06876,118
2022-06-02 10:39:00,1.06877,1.06904,1.06906,1.06874,1.06891,1.06918,1.0692,1.06887,159
2022-06-02 10:40:00,1.06904,1.06907,1.0691,1.0689,1.06919,1.06922,1.06924,1.06904,198
2022-06-02 10:41:00,1.06906,1.06908,1.0692,1.06905,1.06921,1.0692,1.06934,1.06919,113
2022-06-02 10:42:00,1.06908,1.06921,1.06923,1.06905,1.06921,1.06935,1.06936,1.06918,121
2022-06-02 10:43:00,1.06922,1.06922,1.06923,1.06917,1.06935,1.06935,1.06936,1.06931,126
2022-06-02 10:44:00,1.06921,1.06933,1.06934,1.06921,1.06935,1.06945,1.06948,1.06934,106
2022-06-02 10:45:00,1.06932,1.06942,1.06944,1.06931,1.06945,1.06957,1.06958,1.06943,183
2022-06-02 10:46:00,1.06941,1.06937,1.06941,1.06928,1.06955,1.06951,1.06955,1.06942,137
