,Index,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
200,2022-01-25 09:01:00,1.12954,1.12975,1.12948,31.734925974382577,,1.12963,BUY,1.1292,2022-01-25 09:40:00,SLPR,-12.899999999997913
201,2022-01-25 09:46:00,1.12874,1.12887,1.12873,33.3601907031225,,1.12881,BUY,1.12862,2022-01-25 09:51:00,SLPR,-5.700000000004035
202,2022-01-25 09:54:00,1.12857,1.12863,1.12848,32.77527041677594,,1.12861,BUY,1.12839,2022-01-25 09:56:00,SLPR,-6.599999999996609
203,2022-01-25 09:57:00,1.1284,1.12857,1.1284,33.877751456220324,,1.1285,BUY,1.12813,2022-01-25 10:30:00,SLPR,-11.099999999999444
204,2022-01-25 10:34:00,1.12801,1.12822,1.128,33.72040627780528,,1.12817,BUY,1.12785,2022-01-25 11:27:00,SLPR,-9.599999999996278
205,2022-01-25 11:31:00,1.12765,1.12784,1.12754,38.71821314792524,,1.1278,BUY,1.12748,2022-01-25 11:39:00,SLPR,-9.599999999996278
206,2022-01-25 11:40:00,1.12748,1.12752,1.12737,32.90735636307065,,1.12752,BUY,1.12714,2022-01-25 11:45:00,SLPR,-11.400000000001409
207,2022-01-25 11:56:00,1.1269,1.12708,1.12682,36.08253068468183,,1.12707,BUY,1.12667,2022-01-25 12:57:00,SLPR,-11.999999999998678
209,2022-01-25 13:30:00,1.12766,1.12766,1.12752,65.77181627422608,,1.12757,SELL,1.12772,2022-01-25 13:31:00,SLPR,-4.500000000002835
210,2022-01-25 13:33:00,1.12775,1.12777,1.12752,57.66955879438918,,1.12756,SELL,1.12795,2022-01-25 13:38:00,SLPR,-11.700000000003374
212,2022-01-25 13:52:00,1.12712,1.12722,1.12708,34.234465803463564,,1.12717,BUY,1.12696,2022-01-25 14:20:00,SLPR,-6.300000000001305
214,2022-01-25 15:32:00,1.12794,1.12794,1.12777,66.14174390037857,,1.12787,SELL,1.12827,2022-01-25 16:35:00,SLPR,-12.00000000000534
215,2022-01-25 16:37:00,1.12829,1.12831,1.12816,65.82396692930071,,1.12821,SELL,1.12845,2022-01-25 16:41:00,SLPR,-7.200000000000539
216,2022-01-25 16:47:00,1.1286,1.1286,1.12839,59.867553031203975,,1.12842,SELL,1.12883,2022-01-25 17:17:00,SLPR,-12.300000000000644
217,2022-01-25 17:18:00,1.12882,1.12883,1.12862,56.42707301502855,UP_CROSSOVER,1.12862,SELL,1.12907,2022-01-25 18:08:00,SLPR,-13.500000000001844
218,2022-01-25 18:09:00,1.12906,1.12912,1.12897,67.61828912905753,,1.12903,SELL,1.12924,2022-01-25 18:17:00,SLPR,-6.300000000001305
219,2022-01-25 18:51:00,1.12966,1.12967,1.12949,58.90313342389842,,1.12951,SELL,1.12982,2022-01-25 19:08:00,SLPR,-9.300000000000974
222,2022-01-25 19:45:00,1.12978,1.12978,1.12973,64.69479052394314,,1.12974,SELL,1.13009,2022-01-25 19:49:00,SLPR,-10.500000000002174
224,2022-01-25 20:08:00,1.12978,1.12988,1.12978,34.42158237354988,,1.12982,BUY,1.12979,2022-01-25 20:13:00,SLPR,-0.8999999999992347
226,2022-01-25 21:40:00,1.12995,1.12996,1.12994,30.735869371248143,,1.12996,BUY,1.12978,2022-01-25 22:06:00,SLPR,-5.40000000000207
236,2022-01-26 02:01:00,1.13056,1.13056,1.13043,60.93123078581736,,1.13043,SELL,1.13062,2022-01-26 02:09:00,SLPR,-5.699999999997374
237,2022-01-26 02:09:00,1.13067,1.13077,1.13062,65.10864216919752,,1.13062,SELL,1.13083,2022-01-26 02:41:00,SLPR,-6.300000000001305
239,2022-01-26 02:56:00,1.13067,1.13069,1.1306,30.09661629148404,,1.13068,BUY,1.13052,2022-01-26 03:00:00,SLPR,-4.799999999998139
240,2022-01-26 03:01:00,1.13052,1.1306,1.13052,37.75999595566041,,1.1306,BUY,1.13036,2022-01-26 03:46:00,SLPR,-7.200000000000539
241,2022-01-26 03:50:00,1.13032,1.13037,1.13032,38.211937536291195,,1.13036,BUY,1.13012,2022-01-26 04:43:00,SLPR,-7.200000000000539
244,2022-01-26 06:39:00,1.13004,1.13011,1.13001,39.14587768967588,,1.13011,BUY,1.12982,2022-01-26 06:44:00,SLPR,-8.699999999997043
245,2022-01-26 06:53:00,1.12961,1.12973,1.12956,31.2504218500318,,1.12969,BUY,1.12942,2022-01-26 06:57:00,SLPR,-8.099999999999774
246,2022-01-26 07:03:00,1.12926,1.12936,1.12925,31.759727435783574,,1.12934,BUY,1.12902,2022-01-26 07:25:00,SLPR,-9.60000000000294
247,2022-01-26 07:26:00,1.12904,1.12917,1.12901,35.18033364335484,,1.12913,BUY,1.12873,2022-01-26 08:01:00,SLPR,-11.999999999998678
