,bidopen,max_bid,min_bid,small_sma_8,large_sma_16,rsi,sma_signal,sma_signal_1,entry_price,entry_signal,exit_price,exit_time,status,pl
2022-03-08 09:09:00,1.08811,1.08854,1.08811,1.0889375,1.0893156249999998,32.07251341166621,,,1.08829,BUY,1.08751,2022-03-08 09:19:00,SLPR,-23.400000000000087
2022-03-08 09:13:00,1.08794,1.08844,1.08789,1.08824875,1.0889775,40.43638333334194,,,1.0884,BUY,1.08751,2022-03-08 09:19:00,SLPR,-26.700000000001722
2022-03-08 09:23:00,1.087,1.08712,1.08692,1.08754125,1.0878649999999999,30.771007081001116,,,1.08705,BUY,1.08767,2022-03-08 09:30:00,TG,18.599999999995287
2022-03-08 09:25:00,1.08694,1.08736,1.08688,1.08718,1.0877268750000002,37.78566712671434,,,1.08725,BUY,1.08847,2022-03-08 09:34:00,TG,36.599999999999966
2022-03-08 09:40:00,1.08953,1.08956,1.08885,1.0887900000000001,1.088114375,60.578566944605065,,,1.08888,SELL,1.08846,2022-03-08 09:47:00,TG,12.60000000000261
2022-03-08 11:20:00,1.09011,1.0903,1.08995,1.08968125,1.08956875,68.03239366595714,,,1.09005,SELL,1.08913,2022-03-08 11:27:00,TG,27.600000000000957
2022-03-08 11:32:00,1.08866,1.08916,1.0886,1.08915625,1.08948,40.07958809416422,,,1.08896,BUY,1.0912,2022-03-08 12:14:00,TG,67.20000000000059
2022-03-08 11:45:00,1.08827,1.08845,1.08824,1.0884375,1.088584375,37.32647352773365,,,1.08842,BUY,1.08904,2022-03-08 11:52:00,TG,18.60000000000195
2022-03-08 12:19:00,1.09174,1.09179,1.09092,1.091435,1.09108875,54.370637042969285,,,1.09109,SELL,1.09018,2022-03-08 12:27:00,TG,27.29999999999899
2022-03-08 12:52:00,1.08961,1.08981,1.0896,1.08984375,1.090329375,33.717532312570256,,,1.08974,BUY,1.09048,2022-03-08 12:59:00,TG,22.199999999998887
2022-03-08 13:13:00,1.08861,1.08948,1.08861,1.08929375,1.089720625,39.54843957058834,,,1.08911,BUY,1.08987,2022-03-08 13:27:00,TG,22.799999999996157
2022-03-08 14:12:00,1.09205,1.09205,1.09159,1.09135375,1.0913431249999999,60.326310029484084,,UP_CROSSOVER,1.09167,SELL,1.09088,2022-03-08 14:16:00,TG,23.69999999999539
2022-03-08 14:34:00,1.09023,1.09054,1.09019,1.09088125,1.0911593750000002,33.4162818014086,,,1.09042,BUY,1.09128,2022-03-08 14:43:00,TG,25.800000000002488
2022-03-08 15:57:00,1.0874,1.08765,1.08737,1.0876725,1.088256875,32.71907908491677,,,1.08762,BUY,1.08847,2022-03-08 16:03:00,TG,25.500000000000522
2022-03-08 16:34:00,1.08782,1.08831,1.08782,1.08804625,1.08837625,47.11920190408865,,,1.08822,BUY,1.08778,2022-03-08 16:39:00,SLPR,-13.199999999999878
